Locus_tag	Peptidase type
TVAG_336300	"Clan AA, family A1, cathepsin D-like aspartic peptidase"
TVAG_459080	"Clan AA, family A2, retrotansposon aspartic peptidase"
TVAG_428310	"Clan AD, family A22, presenilin-like aspartic peptidase"
TVAG_412920	"Clan AD, family A22, presenilin-like aspartic peptidase"
TVAG_074490	"Clan AD, family A22, presenilin-like aspartic peptidase"
TVAG_026700	"Clan AD, family A22, presenilin-like aspartic peptidase"
TVAG_488380	"Clan CA, family C1, cathepsin B-like cysteine peptidase"
TVAG_485880	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_484350	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_482410	"Clan CA, family C1, cathepsin B-like cysteine peptidase"
TVAG_467970	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_465470	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_461630	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_454200	"Clan CA, family C1, cathepsin B-like cysteine peptidase"
TVAG_437820	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_427120	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_427130	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_410260	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_405280	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_398510	"Clan CA, family C1, cathepsin F-like cysteine peptidase"
TVAG_355480	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_328620	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_325040	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_302570	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_298080	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_293170	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_267850	"Clan CA, family C1, cathepsin L or K-like cysteine peptidase"
TVAG_257790	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_242850	"Clan CA, family C1, cathepsin L, S or H-like cysteine peptidase"
TVAG_228710	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_228450	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_218830	"Clan CA, family C1, cathepsin L-like cysteine peptidase"
TVAG_216350	"Clan CA, family C1, cathepsin B-like cysteine peptidase"
